,,,,,,,,"Master BG","Master BG","Layout","Layout","Layout","Layout","Layout","Layout","Layout",,"Import BG","Import BG","Animation","Animation","FX","FX",,,,
"id","Shot Code","Status","Thumbnail","Cut Duration","Description","Assets","Camera in scene","id","Status","id","Status","Task Name","Assigned To","Start","End","Payment","Assets ALL TASKS Status Summary","id","Status","id","Status","id","Status","Task Template","Sequence","Project",
"33601","ep025seq01sh01","ip","http:///file_proxy/thumbnail/373116","61","add","sets_home_ext_008","no_c",,,"113045","rdy","Layout","Roman Grechanovskiy","","","","fin",,,"113044","wtg","113046","wtg","Shot","ep025seq01","LEX&PLU",
"33602","ep025seq01sh02","ip","http:///file_proxy/thumbnail/373112","74","add","chars_trisha, sets_home_090","no_c",,,"113048","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113047","wtg","113049","wtg","Shot","ep025seq01","LEX&PLU",
"33603","ep025seq01sh03","ip","http:///file_proxy/thumbnail/373107","85","add","chars_lex, chars_plu, props_candies_001, sets_home_085","no_c",,,"113051","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113050","wtg","113052","wtg","Shot","ep025seq01","LEX&PLU",
"33604","ep025seq01sh04","ip","http:///file_proxy/thumbnail/373103","150","add","chars_crispy, chars_lex, chars_plu, chars_trisha, props_candies_001, props_mat_001, sets_home_021b","no_c",,,"113054","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113053","wtg","113055","wtg","Shot","ep025seq01","LEX&PLU",
"33605","ep025seq01sh05","ip","http:///file_proxy/thumbnail/373099","92","add","chars_crispy, props_candies_001, sets_home_010","no_c",,,"113057","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113056","wtg","113058","wtg","Shot","ep025seq01","LEX&PLU",
"33606","ep025seq01sh06","ip","http:///file_proxy/thumbnail/373095","87","add","chars_greg, props_book_001, sets_home_005b","no_c",,,"113060","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113059","wtg","113061","wtg","Shot","ep025seq01","LEX&PLU",
"33607","ep025seq01sh07","ip","http:///file_proxy/thumbnail/373091","88","add","chars_crispy, chars_greg, chars_lex, chars_plu, props_book_001, props_candies_001, sets_home_001","no_c",,,"113063","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113062","wtg","113064","wtg","Shot","ep025seq01","LEX&PLU",
"33608","ep025seq01sh08","ip","http:///file_proxy/thumbnail/373087","108","add","chars_plu, props_candies_001, sets_home_040","no_c",,,"113066","rdy","Layout","Roman Grechanovskiy","","","","ip",,,"113065","wtg","113067","wtg","Shot","ep025seq01","LEX&PLU",
"33609","ep025seq01sh09","ip","http:///file_proxy/thumbnail/373083","101","add","chars_lex, sets_home_021b","no_c",,,"113069","rdy","Layout","Roman Grechanovskiy","","","","fin",,,"113068","wtg","113070","wtg","Shot","ep025seq01","LEX&PLU",
